room_index,room_dim,mic_region,z_slice,t60,source_position
0,"[8.85, 8.87, 3.26]","[[3.01, 4.01], [2.74, 3.74]]",0.73,0.4861019675553476,"[7.710016057064906, 5.508881008807953, 0.8729085402630703]"
1,"[11.19, 10.7, 3.72]","[[9.41, 10.41], [1.43, 2.43]]",2.72,0.5486767690648189,"[2.804464414147122, 1.8575197554838658, 2.5906706490713427]"
2,"[6.74, 11.23, 4.47]","[[2.39, 3.39], [2.52, 3.52]]",2.37,0.5176302657414658,"[4.170624066979592, 4.002993410714502, 2.445152821726891]"
3,"[9.99, 9.68, 4.25]","[[2.18, 3.18], [7.92, 8.92]]",0.96,0.5395957416520187,"[3.039627493863663, 9.120691097896529, 2.259017467640879]"
4,"[7.36, 10.05, 3.62]","[[2.33, 3.33], [0.67, 1.67]]",1.85,0.49121563612306474,"[3.660727558170115, 2.110384625930828, 0.5472433057604068]"
5,"[8.73, 11.91, 3.08]","[[2.77, 3.77], [6.52, 7.52]]",2.53,0.5114239476390858,"[3.830271626280488, 5.006190500157088, 0.5477614462136416]"
6,"[6.75, 11.32, 3.61]","[[3.74, 4.74], [2.07, 3.07]]",1.84,0.4945709244131232,"[5.4120999703164445, 4.883217378791557, 2.1991776231333233]"
7,"[9.46, 9.5, 3.21]","[[6.23, 7.23], [4.4, 5.4]]",1.81,0.4996311412648333,"[4.3207157990120795, 2.9692894755540404, 2.0534935897692215]"
8,"[7.19, 9.82, 4.48]","[[3.16, 4.16], [6.58, 7.58]]",0.65,0.5100307819636739,"[3.4662402403992085, 6.673301009427376, 1.9296418175647982]"
9,"[8.83, 10.65, 4.32]","[[7.1, 8.1], [1.41, 2.41]]",1.46,0.5382864551234817,"[1.794531213539531, 8.965802947215696, 3.247223194182527]"
10,"[10.75, 8.46, 3.2]","[[8.68, 9.68], [4.05, 5.05]]",0.87,0.5006214894587441,"[7.037096204671171, 6.6055790795238964, 2.312802408187697]"
11,"[11.14, 8.03, 3.27]","[[2.28, 3.28], [1.38, 2.38]]",1.01,0.5011986070819361,"[9.341973791246685, 5.812616974701875, 1.3144587974822382]"
12,"[8.28, 9.19, 3.73]","[[5.38, 6.38], [3.26, 4.26]]",2.13,0.4977942167947166,"[4.082934974308182, 4.347444920752488, 2.9558563964787314]"
